BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
'1.1.1.4'	'PS.lightreaction.photosystem II.LHC biogenesis'	'cre06.g268600.t1.2|pacid:27569161'	'CSD CspC  no original description'	T
'1.1.2'	'PS.lightreaction.photosystem I'	''	''	
'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'	'cre16.g687900.t1.2|pacid:27567636'	'Chloroa_b-bind  no original description'	T
'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'	'cre10.g425900.t1.2|pacid:27579608'	'Chloroa_b-bind  no original description'	T
'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'	'cre10.g452050.t1.2|pacid:27580247'	'Chloroa_b-bind  no original description'	T
'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'	'g11502.t1|pacid:27565451'	'Chloroa_b-bind  no original description'	T
'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'	'cre12.g508750.t1.2|pacid:27581096'	'Chloroa_b-bind  no original description'	T
'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'	'g6355.t1|pacid:27568583'	'Chloroa_b-bind  no original description'	T
'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'	'g6583.t1|pacid:27568539'	'Chloroa_b-bind  no original description'	T
'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'	'cre07.g344950.t1.2|pacid:27564149'	'Chloroa_b-bind  no original description'	T
'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'	'cre06.g272650.t1.2|pacid:27569293'	'Chloroa_b-bind  no original description'	T
'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'	'cre12.g486300.t1.2|pacid:27582776'	'PsaL psaL PRK00704  no original description'	T
'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'	'g7789.t1|pacid:27563893'	'no original description'	T
'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'	'cre10.g420350.t1.2|pacid:27579628'	'PSI_PsaE psaE PRK02749  no original description'	T
'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'	'cre09.g412100.t1.2|pacid:27570129'	'PSI_PsaF psaF  no original description'	T
'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'	'g17518.t1|pacid:27571297'	'no original description'	T
'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'	'cre12.g560950.t1.2|pacid:27581461'	'no original description'	T
'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'	'cre07.g330250.t1.2|pacid:27564855'	'PSI_PsaH  no original description'	T
'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'	'g5492.t1|pacid:27572389'	'PsaD psaD  no original description'	T
'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'	'cre02.g082500.t1.3|pacid:27575441'	'PsaN  no original description'	T
'1.1.2.3'	'PS.lightreaction.photosystem I.biogenesis'	''	''	
'1.1.3'	'PS.lightreaction.cytochrome b6/f'	'g11619.t1|pacid:27565142'	'Rieske_cytochrome_b6f QcrA   no original description'	T
'1.1.3'	'PS.lightreaction.cytochrome b6/f'	'cre12.g558900.t1.2|pacid:27582529'	'no original description'	T
'1.1.3.1'	'PS.lightreaction.cytochrome b6/f.iron sulfur subunit'	''	''	
'1.1.3.2'	'PS.lightreaction.cytochrome b6/f.subunit 4 (PETD)'	''	''	
'1.1.3.3'	'PS.lightreaction.cytochrome b6/f.cytochrome b6 (CYB6)'	''	''	
'1.1.3.4'	'PS.lightreaction.cytochrome b6/f.apocytochrome f (CYF)'	''	''	
'1.1.3.5'	'PS.lightreaction.cytochrome b6/f.biogenesis'	'cre08.g358250.t1.2|pacid:27563092'	'no original description'	T
'1.1.4'	'PS.lightreaction.ATP synthase'	'cre11.g481450.t1.2|pacid:27564887'	'atpG PRK07353  no original description'	T
'1.1.4'	'PS.lightreaction.ATP synthase'	'cre01.g049600.t1.2|pacid:27578275'	'no original description'	T
'1.1.4'	'PS.lightreaction.ATP synthase'	'cre06.g259900.t1.2|pacid:27569164'	'ATP-synt PRK05621 AtpG   no original description'	T
'1.1.4.1'	'PS.lightreaction.ATP synthase.alpha subunit'	''	''	
'1.1.4.2'	'PS.lightreaction.ATP synthase.beta subunit'	''	''	
'1.1.4.3'	'PS.lightreaction.ATP synthase.epsilon chain'	''	''	
'1.1.4.4'	'PS.lightreaction.ATP synthase.gamma chain'	''	''	
'1.1.4.5'	'PS.lightreaction.ATP synthase.subunit C'	''	''	
'1.1.4.6'	'PS.lightreaction.ATP synthase.chloroplastic subunit a'	''	''	
'1.1.4.7'	'PS.lightreaction.ATP synthase.delta chain'	'g11498.t1|pacid:27565294'	'OSCP PRK05758 AtpH atpD   no original description'	T
'1.1.4.8'	'PS.lightreaction.ATP synthase.subunit B (ATPF)'	''	''	
'1.1.4.9'	'PS.lightreaction.ATP synthase.subunit B_ (ATPX)'	''	''	
'1.1.5'	'PS.lightreaction.other electron carrier (ox/red)'	'cre16.g670950.t1.2|pacid:27566802'	'no original description'	T
'1.1.5.1'	'PS.lightreaction.other electron carrier (ox/red).plastocyanin'	'g3784.t1|pacid:27577403'	'Copper-bind PRK02710 PetE  no original description'	T
'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'	'cre07.g334800.t2.1|pacid:27564512'	'petF  no original description'	T
'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'	'cre16.g658400.t1.2|pacid:27566856'	'petF fer2 PRK07609  no original description'	T
'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'	'cre03.g183850.t1.2|pacid:27577652'	'petF  no original description'	T
'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'	'g15094.t1|pacid:27565915'	'petF fer2 PRK07609  no original description'	T
'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'	'cre07.g334800.t1.2|pacid:27564511'	'petF  no original description'	T
'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'	'cre17.g700950.t1.2|pacid:27571205'	'petF PRK07609  no original description'	T
'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'	'cre06.g306350.t1.2|pacid:27568981'	'petF  no original description'	T
'1.1.5.3'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase'	'cre11.g476750.t1.2|pacid:27565098'	'CysJ NAD_binding_1 PRK06214 cysJ    no original description'	T
'1.1.5.3'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase'	'cre13.g562550.t1.3|pacid:27573521'	'GltD PRK11749 gltD PRK12831   no original description'	T
'1.1.5.4'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin oxireductase'	''	''	
'1.1.6'	'PS.lightreaction.NADH DH'	'g18084.t1|pacid:27573246'	'no original description'	T
'1.1.30'	'PS.lightreaction.state transition'	'cre12.g483650.t1.2|pacid:27581912'	'Pkinase S_TKc S_TKc   no original description'	T
'1.1.30'	'PS.lightreaction.state transition'	'g16849.t1|pacid:27567492'	'S_TKc Pkinase S_TKc SPS1   no original description'	T
'1.1.30'	'PS.lightreaction.state transition'	'cre02.g120250.t2.1|pacid:27574693'	'S_TKc Pkinase S_TKc SPS1     no original description'	T
'1.1.30'	'PS.lightreaction.state transition'	'cre02.g120250.t1.1|pacid:27574692'	'S_TKc Pkinase S_TKc SPS1     no original description'	T
'1.1.40'	'PS.lightreaction.cyclic electron flow-chlororespiration'	'g3557.t1|pacid:27577321'	'AOX  no original description'	T
'1.1.40'	'PS.lightreaction.cyclic electron flow-chlororespiration'	'cre07.g350750.t1.2|pacid:27564838'	'AOX  no original description'	T
'1.1.40'	'PS.lightreaction.cyclic electron flow-chlororespiration'	'cre05.g242400.t1.2|pacid:27572525'	'no original description'	T
'1.1.40'	'PS.lightreaction.cyclic electron flow-chlororespiration'	'cre07.g340200.t1.3|pacid:27563795'	'no original description'	T
'1.1.50'	'PS.lightreaction.NPQ'	''	''	
'1.1.60'	'PS.lightreaction.state transition'	''	''	
'1.1.70'	'PS.lightreaction.hydrogenase'	''	''	
'1.1.70.1'	'PS.lightreaction.hydrogenase.FeFe-hydrogenase'	'cre06.g296750.t1.2|pacid:27568348'	'PRK07094 BioB Era_like Elp3 ThiH PRK06256  no original description'	T
'1.1.70.1'	'PS.lightreaction.hydrogenase.FeFe-hydrogenase'	'cre06.g296700.t1.2|pacid:27569336'	'thiH thiH ThiH  no original description'	T
'1.1.70.1'	'PS.lightreaction.hydrogenase.FeFe-hydrogenase'	'cre03.g199800.t1.1|pacid:27576732'	'Fe_hyd_lg_C COG4624 Fe_hyd_SSU   no original description'	T
'1.1.70.1'	'PS.lightreaction.hydrogenase.FeFe-hydrogenase'	'cre09.g396600.t1.1|pacid:27569608'	'Fe_hyd_lg_C COG4624   no original description'	T
'1.1.70.2'	'PS.lightreaction.hydrogenase.NiFe-hydrogenase'	''	''	
'1.1.99'	'PS.lightreaction.unspecified'	'g4362.t1|pacid:27576737'	'no original description'	T
'1.1.99'	'PS.lightreaction.unspecified'	'cre03.g198850.t1.2|pacid:27577576'	'no original description'	T
'1.1.99'	'PS.lightreaction.unspecified'	'g9747.t1|pacid:27569752'	'no original description'	T
'1.1.99'	'PS.lightreaction.unspecified'	'cre08.g365900.t1.2|pacid:27563114'	'Chloroa_b-bind  no original description'	T
'1.1.99'	'PS.lightreaction.unspecified'	'cre01.g051500.t1.2|pacid:27578254'	'no original description'	T
'1.1.99'	'PS.lightreaction.unspecified'	'cre09.g404000.t1.3|pacid:27570358'	'no original description'	T
'1.1.99'	'PS.lightreaction.unspecified'	'cre08.g367500.t1.1|pacid:27563578'	'Chloroa_b-bind  no original description'	T
'1.1.99'	'PS.lightreaction.unspecified'	'cre02.g119550.t1.2|pacid:27574848'	'no original description'	T
'1.1.99'	'PS.lightreaction.unspecified'	'cre02.g141100.t1.2|pacid:27575355'	'no original description'	T
'1.1.99'	'PS.lightreaction.unspecified'	'cre11.g468050.t1.2|pacid:27565465'	'PspA PspA_IM30 PRK10698  no original description'	T
'1.1.99'	'PS.lightreaction.unspecified'	'cre08.g367400.t1.1|pacid:27563141'	'Chloroa_b-bind  no original description'	T
'1.1.99'	'PS.lightreaction.unspecified'	'cre13.g583550.t1.2|pacid:27573448'	'PspA PspA_IM30 PRK10698  no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre06.g256250.t1.2|pacid:27568133'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre09.g394850.t1.2|pacid:27569988'	'LrgB LrgB  no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'g2926.t1|pacid:27577022'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre12.g497300.t2.1|pacid:27582076'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre03.g193900.t1.2|pacid:27576843'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre01.g031100.t1.2|pacid:27578219'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre16.g665250.t1.2|pacid:27566725'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre12.g497300.t1.1|pacid:27582075'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre12.g519300.t1.2|pacid:27582784'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre01.g007850.t1.2|pacid:27578908'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'g3775.t1|pacid:27576714'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre09.g388750.t1.2|pacid:27570721'	'COG5329 Syja_N      no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'g5495.t1|pacid:27572608'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre05.g240750.t1.2|pacid:27572524'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre07.g319100.t1.3|pacid:27564393'	'GST_C_mPGES2 GST_N_mPGES2   no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre03.g164000.t1.2|pacid:27576663'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'g2973.t1|pacid:27576260'	'no original description'	T
'1.1.99.1'	'PS.lightreaction.unspecified.TEF'	'cre02.g111450.t1.2|pacid:27574835'	'no original description'	T
'1.1.1001'	'PS.lightreaction'	'phytol'	'PS.lightreaction, chlorophyll'	M
'1.1.1002'	'PS.lightreaction.binding proteins.Chlorophyll a'	'chlorophyll a'	'PS.lightreaction, chlorophyll'	M
'1.1.1003'	'PS.lightreaction.binding proteins.Chlorophyll b'	'chlorophyll b'	'PS.lightreaction, chlorophyll'	M
'1.1.1004'	'PS.lightreaction.PS II.PQ'	'decyl-plastoquinone'	'PS.lightreaction'	M
'1.2'	'PS.photorespiration'	''	''	
'1.2.1'	'PS.photorespiration.phosphoglycolate phosphatase'	'cre10.g438100.t1.2|pacid:27579466'	'NagD PRK10444   no original description'	T
'1.2.1'	'PS.photorespiration.phosphoglycolate phosphatase'	'cre03.g168700.t1.2|pacid:27576878'	'NagD PRK10444    no original description'	T
'1.2.1'	'PS.photorespiration.phosphoglycolate phosphatase'	'cre06.g271400.t1.3|pacid:27569369'	'NagD PRK10444   no original description'	T
'1.2.2'	'PS.photorespiration.glycolate oxydase'	'cre03.g171300.t1.2|pacid:27576557'	'FMN_dh alpha_hydroxyacid_oxid_FMN FCB2_FMN LMO_FMN LOX_like_FMN idi MDH_FMN lldD   no original description'	T
'1.2.2'	'PS.photorespiration.glycolate oxydase'	'cre06.g288700.t1.2|pacid:27567873'	'GlcD FAD-oxidase_C GlpC FAD_binding_4 glpC    no original description'	T
'1.2.3'	'PS.photorespiration.aminotransferases peroxisomal'	''	''	
'1.2.4'	'PS.photorespiration.glycine cleavage'	''	''	
'1.2.4.1'	'PS.photorespiration.glycine cleavage.P subunit'	''	''	
'1.2.4.2'	'PS.photorespiration.glycine cleavage.T subunit'	''	''	
'1.2.4.3'	'PS.photorespiration.glycine cleavage.L subunit'	''	''	
'1.2.4.4'	'PS.photorespiration.glycine cleavage.H protein'	'cre06.g253350.t1.2|pacid:27568064'	'PRK01202 GcvH GCV_H PRK00624   no original description'	T
'1.2.5'	'PS.photorespiration.serine hydroxymethyltransferase'	'cre16.g664550.t1.2|pacid:27566335'	'SHMT GlyA glyA   no original description'	T
'1.2.5'	'PS.photorespiration.serine hydroxymethyltransferase'	'cre06.g293950.t1.2|pacid:27567815'	'SHMT GlyA glyA   no original description'	T
'1.2.5'	'PS.photorespiration.serine hydroxymethyltransferase'	'cre09.g411900.t1.2|pacid:27570496'	'SHMT GlyA glyA   no original description'	T
'1.2.6'	'PS.photorespiration.hydroxypyruvate reductase'	'cre06.g295450.t1.2|pacid:27568256'	'2-Hacid_dh LdhA SerA 2-Hacid_dh_C PRK08410 PRK06487 PRK11790 PRK08605 PRK12480 PRK06932 PRK00257 PRK07574 PRK06436    no original description'	T
'1.2.7'	'PS.photorespiration.glycerate kinase'	'cre12.g542300.t1.2|pacid:27581694'	'COG4240   no original description'	T
'1.2.1001'	'PS.photorespiration.glycerate'	'glycerate'	'PS.photorepiration; lipid metabolism; amino acid degradation.serine; amino acid degradation.glycine; gluconeogenese/ glyoxylate cycle; TCA / org transformation'	M
'1.2.1002'	'PS.photorepiration.glycolate'	'glycolate'	'PS.photorepiration'	M
'1.2.1003'	'PS.photorepiration.glycine'	'glycine'	'PS.photorepiration; amino acid synthesis.serine; amino acid synthesis.glycine; amino acid degradation.glycine; redox regulation; nucleotide metabolism.synthesis; C1-metabolism'	M
'1.2.1004'	'PS.photorepiration.serine'	'serine'	'PS.photorepiration; lipid metabolism; amino acid degradation.homoserine; amino acid synthesis.serine; amino acid degradation.serine; amino acid degradation.methionine; S-assimilation'	M
'1.2.1005'	'PS.photorepiration.glyoxylate'	'glyoxylate'	'PS.photorepiration'	M
'1.2.1006'	'PS.photorepiration.hydroxypyruvate'	'hydroxypyruvate'	'PS.photorepiration'	M
'1.3'	'PS.calvin cycle'	''	''	
'1.3.1'	'PS.calvin cycle.rubisco large subunit'	''	''	
'1.3.2'	'PS.calvin cycle.rubisco small subunit'	'cre02.g120150.t1.2|pacid:27575880'	'RuBisCO_small RuBisCO_small rbcS RbcS RuBisCO_small_like  no original description'	T
'1.3.2'	'PS.calvin cycle.rubisco small subunit'	'cre02.g120100.t1.2|pacid:27574951'	'RuBisCO_small RuBisCO_small rbcS RbcS RuBisCO_small_like  no original description'	T
'1.3.3'	'PS.calvin cycle.phosphoglycerate kinase'	'g11700.t1|pacid:27565389'	'pgk Phosphoglycerate_kinase PGK Pgk   no original description'	T
'1.3.3'	'PS.calvin cycle.phosphoglycerate kinase'	'cre07.g354250.t1.2|pacid:27564551'	'pgk Pgk Phosphoglycerate_kinase PGK   no original description'	T
'1.3.4'	'PS.calvin cycle.GAP'	'g13400.t1|pacid:27582175'	'Aldedh PutA PRK10090 PRK03137 gabD2 gabD gabD1 PRK11904 PRK09847 PRK11905 COG4230 putA astD PRK11563 PRK11903         no original description'	T
'1.3.4'	'PS.calvin cycle.GAP'	'cre08.g380250.t1.2|pacid:27563505'	'no original description'	T
'1.3.5'	'PS.calvin cycle.TPI'	'cre01.g029300.t1.2|pacid:27577757'	'TIM TIM tpiA TpiA   no original description'	T
'1.3.6'	'PS.calvin cycle.aldolase'	'cre05.g234550.t1.2|pacid:27572481'	'Glycolytic FBP_aldolase_I_a COG3588 FBP_aldolase_I   no original description'	T
'1.3.6'	'PS.calvin cycle.aldolase'	'cre05.g234550.t2.1|pacid:27572480'	'Glycolytic FBP_aldolase_I_a COG3588 FBP_aldolase_I   no original description'	T
'1.3.6'	'PS.calvin cycle.aldolase'	'cre01.g006950.t1.3|pacid:27578167'	'Glycolytic FBP_aldolase_I_a COG3588 FBP_aldolase_I   no original description'	T
'1.3.6'	'PS.calvin cycle.aldolase'	'cre01.g006950.t2.1|pacid:27578168'	'Glycolytic FBP_aldolase_I_a COG3588 FBP_aldolase_I   no original description'	T
'1.3.6'	'PS.calvin cycle.aldolase'	'cre02.g093450.t1.2|pacid:27575554'	'Glycolytic FBP_aldolase_I_a COG3588 FBP_aldolase_I   no original description'	T
'1.3.7'	'PS.calvin cycle.FBPase'	'cre12.g510650.t1.2|pacid:27581576'	'FBPase PRK09293 Fbp FBPase   no original description'	T
'1.3.8'	'PS.calvin cycle.transketolase'	'cre02.g080200.t1.2|pacid:27575779'	'TktA PRK05899 PRK12753 PRK12754 Transketolase_N TPP_TK COG3959 Transket_pyr COG3958   no original description'	T
'1.3.9'	'PS.calvin cycle.seduheptulose bisphosphatase'	'cre17.g699600.t1.2|pacid:27572173'	'FBPase FBPase Fbp PRK09293   no original description'	T
'1.3.9'	'PS.calvin cycle.seduheptulose bisphosphatase'	'cre03.g185550.t1.2|pacid:27577604'	'FBPase FBPase PRK09293 Fbp   no original description'	T
'1.3.10'	'PS.calvin cycle.Rib5P Isomerase'	'cre07.g314600.t1.2|pacid:27564813'	'RPI_A RpiA   no original description'	T
'1.3.11'	'PS.calvin cycle.RPE'	'cre12.g511900.t1.2|pacid:27582151'	'PRK05581 RPE Rpe Ribul_P_3_epim PRK08883 PRK08745 PRK09722 PRK08091 PRK08005   no original description'	T
'1.3.11'	'PS.calvin cycle.RPE'	'g13792.t1|pacid:27581923'	'AraB XylB PRK04123 RPE PRK05581 Rpe Ribul_P_3_epim PRK10939 GlpK FGGY_N PRK08883 PRK08745 PRK10331 FGGY_C PRK09722 PRK08005 glpK    no original description'	T
'1.3.11'	'PS.calvin cycle.RPE'	'cre02.g116450.t1.2|pacid:27575409'	'RPE PRK05581 Rpe Ribul_P_3_epim PRK08883 PRK08745 PRK09722 PRK08091 PRK08005   no original description'	T
'1.3.12'	'PS.calvin cycle.PRK'	'cre12.g554800.t1.2|pacid:27582985'	'PRK PRK07429 PRK Udk UMPK PRK05480   no original description'	T
'1.3.13'	'PS.calvin cycle.rubisco interacting'	'cre12.g524500.t1.2|pacid:27582709'	'no original description'	T
'1.3.13'	'PS.calvin cycle.rubisco interacting'	'cre17.g718950.t1.2|pacid:27572095'	'no original description'	T
'1.3.13'	'PS.calvin cycle.rubisco interacting'	'cre06.g298300.t1.3|pacid:27568238'	'no original description'	T
'1.3.13'	'PS.calvin cycle.rubisco interacting'	'cre04.g229300.t1.3|pacid:27580957'	'no original description'	T
'1.3.13'	'PS.calvin cycle.rubisco interacting'	'cre16.g661350.t1.2|pacid:27567372'	'Rubis-subs-bind   no original description'	T
'1.3.13'	'PS.calvin cycle.rubisco interacting'	'cre16.g649700.t1.1|pacid:27566527'	'no original description'	T
'1.3.1001'	'PS.calvin cycle.ribulose-1,5-bisP'	'ribulose-1,5-bisp'	'major CHO metabolism; PS.calvin cycle'	M
'1.3.1002'	'PS.calvin cycle'	'glycerate-3-p'	'major CHO metabolism; PS.calvin cycle; glycolysis; OPP.oxidative PP'	M
'1.3.1003'	'PS.calvin cycle'	'glycerate-1,3-bisp'	'major CHO metabolism; PS.calvin cycle; glycolysis; OPP.oxidative PP'	M
'1.3.1004'	'PS.calvin cycle'	'glyceraldehyde-3-p'	'major CHO metabolism; PS.calvin cycle; glycolysis; OPP.oxidative PP'	M
'1.3.1005'	'PS.calvin cycle'	'dihydroxyacetone-p'	'major CHO metabolism; PS.calvin cycle; glycolysis; OPP.oxidative PP'	M
'1.3.1006'	'PS.calvin cycle'	'fructose-1,6-bisp'	'major CHO metabolism; PS.calvin cycle; glycolysis; OPP.oxidative PP'	M
'1.3.1007'	'PS.calvin cycle'	'fructose-6-p'	'cell wall synthesis.cellulose synthesis; major CHO metabolism.synthesis.sucrose; major CHO metabolism.synthesis.starch; calvin cycle; glycolysis; OPP.oxidative PP'	M
'1.4'	'PS.reductive PP'	''	''	
'1.5'	'PS.carbon concentrating mechanism'	''	''	
'1.5.1'	'PS.carbon concentrating mechanism.C4'	''	''	
'1.5.2'	'PS.carbon concentrating mechanism.CAM'	''	''	
'1.5.3'	'PS.carbon concentrating mechanism.algal'	'cre13.g592400.t1.2|pacid:27573659'	'no original description'	T
'1.5.3'	'PS.carbon concentrating mechanism.algal'	'g4582.t2|pacid:27580569'	'no original description'	T
'1.5.3'	'PS.carbon concentrating mechanism.algal'	'cre04.g222800.t1.2|pacid:27580979'	'no original description'	T
'1.5.3'	'PS.carbon concentrating mechanism.algal'	'cre06.g281600.t1.2|pacid:27569135'	'no original description'	T
